ID_MN_RESI,SG_UF,DT_NOTIFIC,ocupacaoSuspeitoCli,ocupacaoSuspeitoUti,ocupacaoConfirmadoCli,ocupacaoConfirmadoUti,saidaSuspeitaObitos,saidaSuspeitaAltas,saidaConfirmadaObitos,saidaConfirmadaAltas,População Estimada (2019),Total de Enfermeiros,Enfermeiros do SUS,Enfermeiros a cada 100 mil habitantes,Enfermeiros do SUS a cada 100 mil habitantes,Total de médicos,Médicos do SUS,Médicos a cada 100 mil habitantes,Médicos do SUS a cada 100 mil habitantes,Total de Respiradores,Respiradores a cada 100 mil habitantes,Respiradores do SUS a cada 100 mil habitantes,Total de Respiradores do SUS,Total de Leitos de UTI,Leitos de UTI a cada 100 mil habitantes,Leitos de UTI do SUS,Leitos do SUS a cada 100 mil habitantes,Trabalhadores informais na unidade da Federação (julho 2019),Trabalhadores informais nas Regiões Metropolitas (julho 2019),Trabalhadores informais Capital (julho 2019),Trabalhadores informais no Interior (julho 2019)
MINDURI,MG,03/04/2020,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3894.0,7.0,7.0,179.763739085772,179.763739085772,6.0,6.0,154.083204930662,154.083204930662,1.0,25.6805341551104,25.6805341551104,1.0,0.0,0.0,0.0,0.0,523712.9211,158439.5814,101411.9796,365273.3397
MINDURI,MG,04/04/2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3894.0,7.0,7.0,179.763739085772,179.763739085772,6.0,6.0,154.083204930662,154.083204930662,1.0,25.6805341551104,25.6805341551104,1.0,0.0,0.0,0.0,0.0,523712.9211,158439.5814,101411.9796,365273.3397
MINDURI,MG,05/04/2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3894.0,7.0,7.0,179.763739085772,179.763739085772,6.0,6.0,154.083204930662,154.083204930662,1.0,25.6805341551104,25.6805341551104,1.0,0.0,0.0,0.0,0.0,523712.9211,158439.5814,101411.9796,365273.3397
MINDURI,MG,06/04/2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3894.0,7.0,7.0,179.763739085772,179.763739085772,6.0,6.0,154.083204930662,154.083204930662,1.0,25.6805341551104,25.6805341551104,1.0,0.0,0.0,0.0,0.0,523712.9211,158439.5814,101411.9796,365273.3397
MINDURI,MG,07/04/2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3894.0,7.0,7.0,179.763739085772,179.763739085772,6.0,6.0,154.083204930662,154.083204930662,1.0,25.6805341551104,25.6805341551104,1.0,0.0,0.0,0.0,0.0,523712.9211,158439.5814,101411.9796,365273.3397
PARANHOS,MS,01/04/2020,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14228.0,12.0,12.0,84.3407365757661,84.3407365757661,7.0,7.0,49.1987630025302,49.1987630025302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57649.7967,0.0,17245.9584,40403.8383
PARANHOS,MS,02/04/2020,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14228.0,12.0,12.0,84.3407365757661,84.3407365757661,7.0,7.0,49.1987630025302,49.1987630025302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57649.7967,0.0,17245.9584,40403.8383
PARANHOS,MS,03/04/2020,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14228.0,12.0,12.0,84.3407365757661,84.3407365757661,7.0,7.0,49.1987630025302,49.1987630025302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57649.7967,0.0,17245.9584,40403.8383
BURITI DE GOIAS,GO,15/04/2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2488.0,4.0,4.0,160.771704180064,160.771704180064,1.0,1.0,40.192926045016,40.192926045016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173149.2169,79777.9411,49290.4521,93371.2758
RIBAS DO RIO PARDO,MS,15/04/2020,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24615.0,11.0,11.0,44.6881982530977,44.6881982530977,13.0,13.0,52.8133252082063,52.8133252082063,1.0,4.06256347755433,4.06256347755433,1.0,0.0,0.0,0.0,0.0,57649.7967,0.0,17245.9584,40403.8383
SAO LOURENCO,MG,03/04/2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45851.0,78.0,69.0,170.116246101502,150.487448474406,134.0,102.0,292.250986892325,222.459706440426,37.0,80.6961680225076,65.4293254236548,30.0,10.0,21.8097751412182,10.0,21.8097751412182,523712.9211,158439.5814,101411.9796,365273.3397
SAO LOURENCO,MG,04/04/2020,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45851.0,78.0,69.0,170.116246101502,150.487448474406,134.0,102.0,292.250986892325,222.459706440426,37.0,80.6961680225076,65.4293254236548,30.0,10.0,21.8097751412182,10.0,21.8097751412182,523712.9211,158439.5814,101411.9796,365273.3397
MINDURI,MG,08/04/2020,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3894.0,7.0,7.0,179.763739085772,179.763739085772,6.0,6.0,154.083204930662,154.083204930662,1.0,25.6805341551104,25.6805341551104,1.0,0.0,0.0,0.0,0.0,523712.9211,158439.5814,101411.9796,365273.3397
SAO LOURENCO,MG,05/04/2020,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45851.0,78.0,69.0,170.116246101502,150.487448474406,134.0,102.0,292.250986892325,222.459706440426,37.0,80.6961680225076,65.4293254236548,30.0,10.0,21.8097751412182,10.0,21.8097751412182,523712.9211,158439.5814,101411.9796,365273.3397
RIBAS DO RIO PARDO,MS,01/04/2020,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24615.0,11.0,11.0,44.6881982530977,44.6881982530977,13.0,13.0,52.8133252082063,52.8133252082063,1.0,4.06256347755433,4.06256347755433,1.0,0.0,0.0,0.0,0.0,57649.7967,0.0,17245.9584,40403.8383
SAO LOURENCO,MG,06/04/2020,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,45851.0,78.0,69.0,170.116246101502,150.487448474406,134.0,102.0,292.250986892325,222.459706440426,37.0,80.6961680225076,65.4293254236548,30.0,10.0,21.8097751412182,10.0,21.8097751412182,523712.9211,158439.5814,101411.9796,365273.3397
MINDURI,MG,01/04/2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3894.0,7.0,7.0,179.763739085772,179.763739085772,6.0,6.0,154.083204930662,154.083204930662,1.0,25.6805341551104,25.6805341551104,1.0,0.0,0.0,0.0,0.0,523712.9211,158439.5814,101411.9796,365273.3397
MINDURI,MG,02/04/2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3894.0,7.0,7.0,179.763739085772,179.763739085772,6.0,6.0,154.083204930662,154.083204930662,1.0,25.6805341551104,25.6805341551104,1.0,0.0,0.0,0.0,0.0,523712.9211,158439.5814,101411.9796,365273.3397
SAO LOURENCO,MG,07/04/2020,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45851.0,78.0,69.0,170.116246101502,150.487448474406,134.0,102.0,292.250986892325,222.459706440426,37.0,80.6961680225076,65.4293254236548,30.0,10.0,21.8097751412182,10.0,21.8097751412182,523712.9211,158439.5814,101411.9796,365273.3397
RIBAS DO RIO PARDO,MS,02/04/2020,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24615.0,11.0,11.0,44.6881982530977,44.6881982530977,13.0,13.0,52.8133252082063,52.8133252082063,1.0,4.06256347755433,4.06256347755433,1.0,0.0,0.0,0.0,0.0,57649.7967,0.0,17245.9584,40403.8383
MINDURI,MG,03/04/2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3894.0,7.0,7.0,179.763739085772,179.763739085772,6.0,6.0,154.083204930662,154.083204930662,1.0,25.6805341551104,25.6805341551104,1.0,0.0,0.0,0.0,0.0,523712.9211,158439.5814,101411.9796,365273.3397
MINDURI,MG,04/04/2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3894.0,7.0,7.0,179.763739085772,179.763739085772,6.0,6.0,154.083204930662,154.083204930662,1.0,25.6805341551104,25.6805341551104,1.0,0.0,0.0,0.0,0.0,523712.9211,158439.5814,101411.9796,365273.3397
MINDURI,MG,09/04/2020,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3894.0,7.0,7.0,179.763739085772,179.763739085772,6.0,6.0,154.083204930662,154.083204930662,1.0,25.6805341551104,25.6805341551104,1.0,0.0,0.0,0.0,0.0,523712.9211,158439.5814,101411.9796,365273.3397
MINDURI,MG,10/04/2020,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3894.0,7.0,7.0,179.763739085772,179.763739085772,6.0,6.0,154.083204930662,154.083204930662,1.0,25.6805341551104,25.6805341551104,1.0,0.0,0.0,0.0,0.0,523712.9211,158439.5814,101411.9796,365273.3397
SAO LOURENCO,MG,08/04/2020,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45851.0,78.0,69.0,170.116246101502,150.487448474406,134.0,102.0,292.250986892325,222.459706440426,37.0,80.6961680225076,65.4293254236548,30.0,10.0,21.8097751412182,10.0,21.8097751412182,523712.9211,158439.5814,101411.9796,365273.3397
MINDURI,MG,11/04/2020,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3894.0,7.0,7.0,179.763739085772,179.763739085772,6.0,6.0,154.083204930662,154.083204930662,1.0,25.6805341551104,25.6805341551104,1.0,0.0,0.0,0.0,0.0,523712.9211,158439.5814,101411.9796,365273.3397
